x_in,t_s,trial,type
0,0.0,1,baseball
0,0.0,2,baseball
0,0.0,3,baseball
0,0.0,4,baseball
0,0.0,5,baseball
6,0.738,1,baseball
6,0.673,2,baseball
6,0.667,3,baseball
6,0.741,4,baseball
6,0.665,5,baseball
12,0.929,1,baseball
12,0.926,2,baseball
12,0.909,3,baseball
12,0.924,4,baseball
12,0.948,5,baseball
18,0.939,1,baseball
18,0.974,2,baseball
18,0.943,3,baseball
18,0.928,4,baseball
18,0.985,5,baseball
24,1.125,1,baseball
24,1.068,2,baseball
24,1.049,3,baseball
24,1.121,4,baseball
24,1.024,5,baseball
30,1.228,1,baseball
30,1.215,2,baseball
30,1.203,3,baseball
30,1.244,4,baseball
30,1.251,5,baseball
36,1.392,1,baseball
36,1.361,2,baseball
36,1.332,3,baseball
36,1.387,4,baseball
36,1.452,5,baseball
42,1.553,1,baseball
42,1.497,2,baseball
42,1.481,3,baseball
42,1.562,4,baseball
42,1.561,5,baseball
48,1.681,1,baseball
48,1.628,2,baseball
48,1.642,3,baseball
48,1.703,4,baseball
48,1.672,5,baseball
54,1.783,1,baseball
54,1.745,2,baseball
54,1.761,3,baseball
54,1.789,4,baseball
54,1.787,5,baseball
60,1.875,1,baseball
60,1.846,2,baseball
60,1.823,3,baseball
60,1.901,4,baseball
60,1.89,5,baseball
66,1.951,1,baseball
66,1.926,2,baseball
66,1.938,3,baseball
66,1.974,4,baseball
66,1.964,5,baseball
72,2.035,1,baseball
72,2.006,2,baseball
72,2.018,3,baseball
72,2.061,4,baseball
72,2.055,5,baseball
78,2.119,1,baseball
78,2.091,2,baseball
78,2.102,3,baseball
78,2.141,4,baseball
78,2.139,5,baseball
84,2.192,1,baseball
84,2.161,2,baseball
84,2.174,3,baseball
84,2.226,4,baseball
84,2.208,5,baseball
90,2.251,1,baseball
90,2.217,2,baseball
90,2.231,3,baseball
90,2.272,4,baseball
90,2.258,5,baseball
0,0.0,1,pong
0,0.0,2,pong
0,0.0,3,pong
0,0.0,4,pong
0,0.0,5,pong
6,0.46,1,pong
6,0.66,2,pong
6,0.56,3,pong
6,0.84,4,pong
6,1.12,5,pong
12,0.85,1,pong
12,0.93,2,pong
12,0.97,3,pong
12,1.03,4,pong
12,1.22,5,pong
18,0.97,1,pong
18,0.9,2,pong
18,1.0,3,pong
18,1.19,4,pong
18,1.34,5,pong
24,1.13,1,pong
24,1.12,2,pong
24,1.28,3,pong
24,1.28,4,pong
24,1.22,5,pong
30,1.15,1,pong
30,1.28,2,pong
30,1.44,3,pong
30,1.44,4,pong
30,1.5,5,pong
36,1.34,1,pong
36,1.5,2,pong
36,1.47,3,pong
36,1.56,4,pong
36,1.69,5,pong
42,1.62,1,pong
42,1.56,2,pong
42,1.69,3,pong
42,1.65,4,pong
42,1.69,5,pong
48,1.87,1,pong
48,1.75,2,pong
48,1.72,3,pong
48,1.81,4,pong
48,1.88,5,pong
54,1.78,1,pong
54,1.75,2,pong
54,1.84,3,pong
54,1.88,4,pong
54,2.0,5,pong
60,1.87,1,pong
60,1.84,2,pong
60,1.75,3,pong
60,1.88,4,pong
60,2.0,5,pong
66,1.97,1,pong
66,2.03,2,pong
66,1.97,3,pong
66,2.03,4,pong
66,2.19,5,pong
72,2.16,1,pong
72,2.06,2,pong
72,1.97,3,pong
72,2.15,4,pong
72,2.15,5,pong
78,2.0,1,pong
78,2.16,2,pong
78,2.22,3,pong
78,2.13,4,pong
78,2.31,5,pong
84,2.19,1,pong
84,2.25,2,pong
84,2.28,3,pong
84,2.38,4,pong
84,2.47,5,pong
90,NA,1,pong
90,2.28,2,pong
90,2.31,3,pong
90,2.47,4,pong
90,2.41,5,pong